개방자치단체코드,관리번호,관리기관명,소재지도로명주소,소재지지번주소,설치목적구분,카메라대수,카메라화소수,촬영방면정보,보관일수,설치연월,관리기관전화번호,WGS84위도,WGS84경도,데이터기준일자,데이터갱신구분,데이터갱신시점,최종수정시점
3220000,202632200000800001,서울특별시 강남구청,서울특별시 강남구 선릉로 103,서울특별시 강남구 개포동 650,교통단속,3,,,30,,02-3423-6771,37.4866,127.0567,2026-01-01,,2026-05-16 22:28:19,2026-05-15 16:42:59
3220000,202632200000800002,서울특별시 강남구청,서울특별시 강남구 선릉로 29,서울특별시 강남구 개포동 660-11,교통단속,4,,,30,,02-3423-6771,37.4813,127.0604,2026-01-01,,2026-05-16 22:28:19,2026-05-15 16:42:59
3220000,202632200000800003,서울특별시 강남구청,서울특별시 강남구 개포로 310,서울특별시 강남구 개포동 660-2,교통단속,3,,,30,,02-3423-6771,37.4823,127.0553,2026-01-01,,2026-05-16 22:28:19,2026-05-15 16:42:59
3220000,202632200000800004,서울특별시 강남구청,서울특별시 강남구 언주로 110,서울특별시 강남구 개포동 649,생활방범,5,,,30,,02-3423-6771,37.4834,127.0527,2026-01-01,,2026-05-16 22:28:19,2026-05-15 16:42:59
3220000,202632200000800005,서울특별시 강남구청,서울특별시 강남구 선릉로 103,서울특별시 강남구 개포동 650,생활방범,4,,,30,,02-3423-6771,37.4854,127.0561,2026-01-01,,2026-05-16 22:28:19,2026-05-15 16:42:59
3220000,202632200000800006,서울특별시 강남구청,서울특별시 강남구 개포로 310,서울특별시 강남구 개포동 660-12,생활방범,4,,,30,,02-3423-6771,37.4778,127.0578,2026-01-01,,2026-05-16 22:28:19,2026-05-15 16:42:59
3220000,202632200000800007,서울특별시 강남구청,,서울특별시 강남구 개포동 660-36,생활방범,4,,,30,,02-3423-6771,37.4767,127.0584,2026-01-01,,2026-05-16 22:28:19,2026-05-15 16:42:59
3220000,202632200000800008,서울특별시 강남구청,서울특별시 강남구 개포로 310,서울특별시 강남구 개포동 660-1,생활방범,4,,,30,,02-3423-6771,37.4836,127.057,2026-01-01,,2026-05-16 22:28:19,2026-05-15 16:42:59
3220000,202632200000800009,서울특별시 강남구청,서울특별시 강남구 개포로 303,서울특별시 강남구 개포동 653,생활방범,5,,,30,,02-3423-6771,37.4813,127.0539,2026-01-01,,2026-05-16 22:28:19,2026-05-15 16:42:59
3220000,202632200000800010,서울특별시 강남구청,서울특별시 강남구 개포로 303,서울특별시 강남구 개포동 653,생활방범,3,,,30,,02-3423-6771,37.4823,127.0534,2026-01-01,,2026-05-16 22:28:19,2026-05-15 16:42:59
3220000,202632200000800011,서울특별시 강남구청,서울특별시 강남구 언주로6길 21,서울특별시 강남구 개포동 660-21,생활방범,4,,,30,,02-3423-6771,37.4773,127.0584,2026-01-01,,2026-05-16 22:28:19,2026-05-15 16:42:59
3220000,202632200000800012,서울특별시 강남구청,서울특별시 강남구 양재대로 478,서울특별시 강남구 개포동 570,생활방범,3,,,30,,02-3423-6771,37.4775,127.0658,2026-01-01,,2026-05-16 22:28:19,2026-05-15 16:42:59
3220000,202632200000800013,서울특별시 강남구청,,서울특별시 강남구 개포동 649-1,생활방범,3,,,30,,02-3423-6771,37.4858,127.0546,2026-01-01,,2026-05-16 22:28:19,2026-05-15 16:42:59
3220000,202632200000800014,서울특별시 강남구청,서울특별시 강남구 개포로 311,서울특별시 강남구 개포동 651-1,어린이보호,4,,,30,,02-3423-6771,37.484,127.0573,2026-01-01,,2026-05-16 22:28:19,2026-05-15 16:42:59
3220000,202632200000800015,서울특별시 강남구청,서울특별시 강남구 언주로6길 17,서울특별시 강남구 개포동 660-17,생활방범,3,,,30,,02-3423-6771,37.4776,127.0586,2026-01-01,,2026-05-16 22:28:19,2026-05-15 16:42:59
3220000,202632200000800016,서울특별시 강남구청,서울특별시 강남구 양재천동자전거길 291,서울특별시 강남구 개포동 648-2,생활방범,1,,,30,,02-3423-6771,37.4872,127.0564,2026-01-01,,2026-05-16 22:28:19,2026-05-15 16:42:59
3220000,202632200000800017,서울특별시 강남구청,,서울특별시 강남구 개포동 141,생활방범,4,,,30,,02-3423-6771,37.4803,127.0634,2026-01-01,,2026-05-16 22:28:19,2026-05-15 16:42:59
3220000,202632200000800018,서울특별시 강남구청,서울특별시 강남구 양재대로 478,서울특별시 강남구 개포동 571-1,생활방범,2,,,30,,02-3423-6771,37.478,127.065,2026-01-01,,2026-05-16 22:28:19,2026-05-15 16:42:59
3220000,202632200000800019,서울특별시 강남구청,,서울특별시 강남구 개포동 647,생활방범,4,,,30,,02-3423-6771,37.4855,127.0574,2026-01-01,,2026-05-16 22:28:19,2026-05-15 16:42:59
3220000,202632200000800020,서울특별시 강남구청,서울특별시 강남구 개포로 310,서울특별시 강남구 개포동 660-4,생활방범,3,,,30,,02-3423-6771,37.4805,127.0589,2026-01-01,,2026-05-16 22:28:19,2026-05-15 16:42:59
3220000,202632200000800021,서울특별시 강남구청,서울특별시 강남구 개포로 310,서울특별시 강남구 개포동 660-4,생활방범,3,,,30,,02-3423-6771,37.481,127.0584,2026-01-01,,2026-05-16 22:28:19,2026-05-15 16:42:59
3220000,202632200000800022,서울특별시 강남구청,서울특별시 강남구 개포로 310,서울특별시 강남구 개포동 660-4,생활방범,3,,,30,,02-3423-6771,37.481,127.0578,2026-01-01,,2026-05-16 22:28:19,2026-05-15 16:42:59
3220000,202632200000800023,서울특별시 강남구청,서울특별시 강남구 개포로 310,서울특별시 강남구 개포동 660-4,생활방범,3,,,30,,02-3423-6771,37.4803,127.0586,2026-01-01,,2026-05-16 22:28:19,2026-05-15 16:42:59
3220000,202632200000800024,서울특별시 강남구청,서울특별시 강남구 개포로 310,서울특별시 강남구 개포동 660-4,생활방범,3,,,30,,02-3423-6771,37.4803,127.0594,2026-01-01,,2026-05-16 22:28:19,2026-05-15 16:42:59
3220000,202632200000800025,서울특별시 강남구청,서울특별시 강남구 양재대로 478,서울특별시 강남구 개포동 619,생활방범,1,,,30,,02-3423-6771,37.4746,127.065,2026-01-01,,2026-05-16 22:28:19,2026-05-15 16:42:59
3220000,202632200000800026,서울특별시 강남구청,,서울특별시 강남구 개포동 141,생활방범,4,,,30,,02-3423-6771,37.4794,127.0644,2026-01-01,,2026-05-16 22:28:19,2026-05-15 16:42:59
3220000,202632200000800027,서울특별시 강남구청,서울특별시 강남구 개포로 310,서울특별시 강남구 개포동 660-1,생활방범,5,,,30,,02-3423-6771,37.4816,127.0609,2026-01-01,,2026-05-16 22:28:19,2026-05-15 16:42:59
3220000,202632200000800028,서울특별시 강남구청,서울특별시 강남구 선릉로 36,서울특별시 강남구 개포동 167-11,교통단속,3,,,30,,02-3423-6771,37.483,127.0604,2026-01-01,,2026-05-16 22:28:19,2026-05-15 16:42:59
3220000,202632200000800029,서울특별시 강남구청,서울특별시 강남구 개포로 504,서울특별시 강남구 개포동 186-13,교통단속,3,,,30,,02-3423-6771,37.4892,127.0669,2026-01-01,,2026-05-16 22:28:19,2026-05-15 16:42:59
3220000,202632200000800030,서울특별시 강남구청,서울특별시 강남구 개포로 512,서울특별시 강남구 개포동 186-17,교통단속,1,,,30,,02-3423-6771,37.4894,127.069,2026-01-01,,2026-05-16 22:28:19,2026-05-15 16:42:59
3220000,202632200000800031,서울특별시 강남구청,서울특별시 강남구 개포로 410,서울특별시 강남구 개포동 155,교통단속,1,,,30,,02-3423-6771,37.4872,127.0619,2026-01-01,,2026-05-16 22:28:19,2026-05-15 16:42:59
3220000,202632200000800032,서울특별시 강남구청,서울특별시 강남구 개포동 188,서울특별시 강남구 개포동 188,교통단속,1,,,30,,02-3423-6771,37.4871,127.0709,2026-01-01,,2026-05-16 22:28:19,2026-05-15 16:42:59
3220000,202632200000800033,서울특별시 강남구청,서울특별시 강남구 선릉로8길 26,서울특별시 강남구 개포동 160-3,생활방범,4,,,30,,02-3423-6771,37.4837,127.0626,2026-01-01,,2026-05-16 22:28:19,2026-05-15 16:42:59
3220000,202632200000800034,서울특별시 강남구청,서울특별시 강남구 선릉로12길 12,서울특별시 강남구 개포동 169-3,어린이보호,4,,,30,,02-3423-6771,37.4836,127.0612,2026-01-01,,2026-05-16 22:28:19,2026-05-15 16:42:59
3220000,202632200000800035,서울특별시 강남구청,서울특별시 강남구 선릉로12길 12,서울특별시 강남구 개포동 169-3,어린이보호,2,,,30,,02-3423-6771,37.4836,127.0612,2026-01-01,,2026-05-16 22:28:19,2026-05-15 16:42:59
