# calib_k_100 snapshot
# generated_at: 2026-07-22T21:51:51+09:00
# git_commit: 4ed79b8
# public_data_mock: True
# ingest_counts: {"child_zones": 92, "accident_hotspots": 85, "crime_grid": 3, "guardian_houses": 116, "streetlights": 0, "speed_cameras": 370}
# ingest_mock_flags: {"child_zones": false, "accident_hotspots": false, "crime_grid": true, "guardian_houses": false, "streetlights": true, "speed_cameras": false}
# streetlights_forced_empty: True
# light_density_source: ansim_305_only
# n_pairs_requested: 100
# search_option: 4
# rng_seed: 42
# elementary_only: True
# dest_road_snap: True
# max_detour_ratio: 2.5
# ok=87 backtrack=9 detour_ratio=4 fail=0
route_id,origin_lat,origin_lng,dest_lat,dest_lng,zone_name,length_km,sf_cctv_cnt,sf_light_cnt,sf_emerg_cnt,zone_cctv,coverage,guardian_cnt,camera_cnt,accident_cnt,doc_risk_cnt,score,status
calib-000,37.5026045,127.0665137,37.4948368,127.0649624,대곡초등학교,1.225,0,0,0,10,0.425,0,3,0,0,64.53737373737374,ok
calib-001,37.465565,127.1117103,37.464741,127.1056012,대왕초등학교,0.675,0,0,0,2,0.259,0,0,1,0,46.544,ok
calib-002,37.4999222,127.0537735,37.5037663,127.0635401,대현초등학교,1.33,1,2,3,13,0.453,0,4,1,0,69.40000822354219,ok
calib-003,37.507905,127.0609871,37.4994388,127.0544993,도곡초등학교,1.642,0,1,1,11,0.256,1,4,1,0,61.98021540431434,ok
calib-004,37.5073629,127.0503574,37.5013635,127.0489248,도성초등학교,1.657,0,0,0,3,0.484,1,5,1,0,58.35470172685795,ok
calib-005,37.5157848,127.0606922,37.5202449,127.0608815,봉은초등학교,0.969,0,0,0,3,0.206,0,1,0,0,57.16612987012987,ok
calib-006,37.5143563,127.0503103,37.5134371,127.0468302,삼릉초등학교,0.343,6,18,9,6,0.554,1,1,0,0,100.0,ok
calib-007,37.5208399,127.0415537,37.5284742,127.0443467,청담초등학교,1.39,0,0,0,16,0.342,0,9,0,0,65.26910144927537,ok
calib-008,37.472167,127.0495215,37.4759582,127.0525224,포이초등학교,0.795,0,0,0,6,0.431,1,1,0,0,69.31961660490485,ok
calib-009,37.5178436,127.0266382,37.5086123,127.0261628,논현초등학교,1.888,0,0,0,11,0.266,0,5,0,0,62.71214035087719,ok
calib-010,37.5203401,127.0130474,37.5232883,127.0240487,신구초등학교,1.476,0,0,0,8,0.194,0,3,0,0,60.28581818181818,ok
calib-011,37.5231864,127.0503234,37.520139,127.044633,언북초등학교,0.784,2,6,4,13,0.289,0,1,1,0,75.54556745820085,ok
calib-012,37.4866198,127.0920539,37.4920207,127.0808027,영희초등학교,1.769,,,,,,,,,,,backtrack
calib-013,37.4928295,127.0786265,37.4900014,127.0761476,일원초등학교,0.509,0,0,0,11,0.472,0,1,0,0,64.48433082706767,ok
