# calib_k_100 snapshot
# generated_at: 2026-07-22T19:07:50+09:00
# git_commit: c4d7d1e
# public_data_mock: True
# ingest_counts: {"child_zones": 92, "accident_hotspots": 85, "crime_grid": 3, "guardian_houses": 116, "streetlights": 0, "speed_cameras": 370}
# ingest_mock_flags: {"child_zones": false, "accident_hotspots": false, "crime_grid": true, "guardian_houses": false, "streetlights": true, "speed_cameras": false}
# streetlights_forced_empty: True
# light_density_source: ansim_305_only
# n_pairs_requested: 100
# search_option: 4
# rng_seed: 42
# ok=86 backtrack=14 fail=0
route_id,origin_lat,origin_lng,dest_lat,dest_lng,zone_name,length_km,sf_cctv_cnt,sf_light_cnt,sf_emerg_cnt,zone_cctv,coverage,guardian_cnt,camera_cnt,accident_cnt,doc_risk_cnt,score,status
calib-000,37.496908,127.072421,37.4891403,127.0708698,돌샘유치원,1.174,0,0,0,7,0.139,0,0,1,0,48.00861538461539,ok
calib-001,37.496575,127.0812077,37.495751,127.075096,이화유치원,1.292,,,,,,,,,,,backtrack
calib-002,37.5137349,127.0436686,37.517579,127.053437,영동제일유치원,1.013,3,7,4,6,0.274,1,3,0,0,81.4147204266913,ok
calib-003,37.5058736,127.0652106,37.4974074,127.058723,묘동유치원,1.519,1,1,2,17,0.404,0,9,2,0,58.28494966182107,ok
calib-004,37.4907975,127.0825328,37.4847981,127.0811005,푸른유치원,1.334,,,,,,,,,,,backtrack
calib-005,37.5218131,127.0480219,37.5262731,127.0482112,성요셉유치원,0.661,2,6,1,5,0.318,0,1,0,0,75.30342266511511,ok
calib-006,37.4888291,127.1016656,37.4879098,127.0981867,반디유치원,0.653,0,0,0,9,0.4,0,0,5,0,43.93846153846154,ok
calib-007,37.4682807,127.045787,37.475915,127.048578,초원유치원,1.229,0,0,0,5,0.124,1,0,0,0,60.749605767540004,ok
calib-008,37.5076298,127.0323517,37.511421,127.035354,성결유치원,0.936,,,,,,,,,,,backtrack
calib-009,37.5035526,127.0539857,37.4943212,127.0535103,도곡렉슬유치원,1.272,0,0,0,17,0.249,0,4,2,0,50.57010954263128,ok
calib-010,37.490213,127.0216061,37.4931611,127.032603,역삼초등학교병설유치원,1.349,0,0,0,8,0.251,0,1,0,0,61.330285714285715,ok
calib-011,37.4896725,127.0764549,37.4866251,127.070767,개포초등학교유치원,0.663,0,0,0,12,0.491,0,0,0,0,64.52266666666667,ok
calib-012,37.4983218,127.074817,37.5037228,127.063564,대현초등학교병설유치원,1.677,0,0,0,9,0.398,0,2,0,0,64.65371428571429,ok
